shipment_id,order_id,carrier,promised_delivery_date,actual_delivery_date,delay_days,shipment_status
1,2,USPS,2026-07-16,2026-07-16,0,Delivered
2,3,USPS,2026-07-16,2026-07-18,2,Delayed
3,5,,2026-07-16,2026-07-17,1,Delayed
4,6,UPS,2026-07-14,2026-07-15,1,Delivered
5,7,UPS,2026-07-16,2026-07-17,1,Delivered
6,9,USPS,2026-07-17,,0,Delivered
7,10,USPS,2026-07-13,2026-07-13,0,Delivered
8,11,DHL,2026-07-16,2026-07-16,0,Delivered
9,12,FedEx,2026-07-14,2026-07-20,-1,Delayed
10,13,USPS,2026-07-17,2026-07-17,0,Delivered
11,14,UPS,2026-07-14,2026-07-13,0,Delivered
12,15,UPS,2026-07-13,2026-07-13,0,Delivered
13,16,USPS,2026-07-12,2026-07-11,0,Delivered
14,17,UPS,2026-07-14,2026-07-15,1,Delivered
15,18,FedEx,2026-07-13,2026-07-14,1,Delivered
16,19,FedEx,2026-07-15,2026-07-14,0,Delivered
17,21,FedEx,2026-07-14,2026-07-16,2,Delayed
18,22,DHL,2026-07-16,2026-07-15,0,Delivered
19,25,USPS,2026-07-12,2026-07-13,1,Delivered
20,26,DHL,2026-07-16,2026-07-21,5,Delayed
21,28,USPS,2026-07-15,2026-07-15,0,Delivered
22,29,FedEx,2026-07-16,2026-07-16,0,Delivered
23,30,FedEx,2026-07-16,2026-07-15,0,Delivered
24,31,USPS,2026-07-12,2026-07-12,0,Delivered
25,32,USPS,2026-07-16,2026-07-19,3,Delayed
26,33,DHL,2026-07-17,2026-07-17,0,Delivered
27,34,DHL,2026-07-17,2026-07-17,0,Delivered
28,35,DHL,2026-07-12,2026-07-12,0,Delivered
29,37,FedEx,2026-07-14,2026-07-14,0,Delivered
30,39,USPS,2026-07-16,2026-07-16,0,Delivered
31,40,USPS,2026-07-16,2026-07-15,0,Delivered
32,41,UPS,2026-07-15,2026-07-21,6,Delayed
33,42,USPS,2026-07-14,2026-07-14,0,Delivered
34,43,FedEx,2026-07-13,2026-07-14,1,Delivered
35,44,USPS,2026-07-12,2026-07-11,0,Delivered
36,45,FedEx,2026-07-15,2026-07-21,6,Delayed
37,46,USPS,2026-07-15,2026-07-14,0,Delivered
38,47,UPS,2026-07-15,2026-07-21,6,Delayed
39,48,DHL,2026-07-15,2026-07-16,1,Delivered
40,49,DHL,2026-07-15,2026-07-17,2,Delayed
41,50,DHL,2026-07-13,2026-07-13,0,Delivered
42,51,UPS,2026-07-15,2026-07-15,0,Delivered
43,52,UPS,2026-07-14,2026-07-14,0,Delivered
44,53,FedEx,2026-07-12,2026-07-12,0,Delivered
45,54,FedEx,2026-07-16,2026-07-17,1,Delivered
46,55,USPS,2026-07-14,2026-07-15,1,Delivered
47,56,USPS,2026-07-17,2026-07-16,0,Delivered
48,57,FedEx,2026-07-16,2026-07-17,1,Delivered
49,59,USPS,2026-07-13,2026-07-13,0,Delivered
50,60,DHL,2026-07-17,2026-07-17,0,Delivered
51,62,UPS,2026-07-12,2026-07-14,2,Delayed
