customer_id,customer_name,country,customer_segment,signup_date
1,"Rodriguez, Figueroa and Sanchez",United States,Enterprise,2024-02-12
2,"Garcia, Yang and Gardner",Germany,Enterprise,2026-01-13
3,Johnson-Davis,Canada,Enterprise,2024-07-06
4,"Guzman, Hoffman and Baldwin",United States,Consumer,2026-07-04
5,"Barnes, Cole and Ramirez",Mexico,Enterprise,2023-07-21
6,Wolfe LLC,Mexico,Small Business,2024-09-14
7,Lewis LLC,United States,Enterprise,2023-12-16
8,James LLC,United States,Enterprise,2024-12-26
9,"Baker, Williams and Stevens",Canada,Consumer,2024-01-20
10,Miller-Carter,Mexico,Enterprise,2026-03-13
11,"Mcclure, Ward and Lee",Mexico,Enterprise,2023-10-27
12,Stanley LLC,Mexico,Small Business,2023-11-11
13,Delacruz Group,Canada,Small Business,2024-09-14
14,Reid-Diaz,Mexico,Small Business,2025-02-05
15,Clark-Adams,United States,Enterprise,2026-06-06
16,"Jones, Reid and Ferguson",India,Small Business,2024-07-25
17,Ford LLC,Germany,Enterprise,2026-03-31
18,"Hawkins, Cohen and Cameron",Canada,Small Business,2023-10-05
19,Underwood LLC,United States,Enterprise,2025-03-25
20,Jones-Gentry,India,Enterprise,2025-12-08
21,"Edwards, Rios and Foster",Germany,Small Business,2026-04-04
22,Thomas-Taylor,Mexico,Small Business,2025-11-29
23,"Baker, Richards and Hurst",United States,Consumer,2025-03-22
24,Robinson-Bright,India,Consumer,2025-09-09
25,Davis-Williams,United States,Small Business,2023-12-28
26,Burton Ltd,United States,Consumer,2025-04-26
27,"Brown, James and Ferrell",Germany,Consumer,2025-10-09
28,Maddox-Valencia,Mexico,Small Business,2023-07-28
29,"Le, Maldonado and Herrera",Mexico,Enterprise,2024-08-28
30,"Peterson, Carter and Moore",United States,Enterprise,2023-07-16
31,"Liu, Baker and Mason",Canada,Small Business,2024-04-13
32,"Gaines, Harrell and Evans",United States,Enterprise,2026-03-29
33,"Lynch, Hernandez and Farmer",United States,Small Business,2025-10-25
34,"Sellers, George and Burns",Germany,Small Business,2023-12-31
35,Koch-Decker,Germany,Enterprise,2024-10-30
36,Brown PLC,Germany,Small Business,2023-11-10
37,Dennis Inc,Canada,Consumer,2025-10-15
38,Anderson Group,Germany,Consumer,2025-11-11
39,Baker PLC,United States,Consumer,2025-04-28
40,Hickman Ltd,Canada,Consumer,2026-06-16
41,Marquez Group,Canada,Enterprise,2026-05-19
42,"Brooks, Lam and Hayes",India,Small Business,2024-07-30
43,Brown Inc,Germany,Consumer,2026-01-09
44,"Hall, Robinson and Jones",Mexico,Enterprise,2026-03-17
45,Perez Inc,Germany,Enterprise,2024-12-05
46,Palmer LLC,Canada,Enterprise,2026-05-15
47,Lewis-Anderson,Germany,Small Business,2025-12-14
48,"Kennedy, Mueller and Aguirre",Germany,Enterprise,2024-05-01
49,Davis Group,Canada,Consumer,2025-01-11
50,Jenkins-Shields,Germany,Enterprise,2023-10-03
51,"Valdez, Lucas and Brown",India,Small Business,2024-12-19
